ItemIndex,ItemGroup,Name,ItemType,MediumGroup,LowGroup,Class,Job,Gender,IsPeriod,IsAutoActive,Limite,FunctionIndex,LevelLimite,SortIndex,CanDelete,UI_Category,Unlock
111000101,1110001,(Old)K1 Rail,1,1,1,0,0,0,1,1,1440,0,0,390508390,1,1,0
111000102,1110001,(Old)K1 Rail,1,1,1,0,0,0,1,1,10080,0,0,390508390,1,1,0
111000103,1110001,(Old)K1 Rail,1,1,1,0,0,0,1,1,21600,0,0,390508390,1,1,0
111000104,1110001,(Old)K1 Rail,1,1,1,0,0,0,1,1,43200,0,0,390508390,1,1,0
111000105,1110001,(Old)K1 Rail,1,1,1,0,0,0,1,1,72000,0,0,390508390,1,1,0
111000201,1110002,(Old)M4 A1,1,1,1,0,0,0,1,1,1440,0,0,390508390,1,1,0
111000202,1110002,(Old)M4 A1,1,1,1,0,0,0,1,1,10080,0,0,390508390,1,1,0
111000203,1110002,(Old)M4 A1,1,1,1,0,0,0,1,1,21600,0,0,390508390,1,1,0
111000204,1110002,(Old)M4 A1,1,1,1,0,0,0,1,1,43200,0,0,390508390,1,1,0
111000205,1110002,(Old)M4 A1,1,1,1,0,0,0,1,1,72000,0,0,390508390,1,1,0
111000210,1110002,(Old)M4 A1,1,1,1,0,0,0,1,1,525600,0,0,390508390,1,1,0
111000301,1110003,(Old)XK2,1,1,1,0,0,0,1,1,1440,0,0,390508390,1,1,0
111000302,1110003,(Old)XK2,1,1,1,0,0,0,1,1,10080,0,0,390508390,1,1,0
111000303,1110003,(Old)XK2,1,1,1,0,0,0,1,1,21600,0,0,390508390,1,1,0
111000304,1110003,(Old)XK2,1,1,1,0,0,0,1,1,43200,0,0,390508390,1,1,0
111000305,1110003,(Old)XK2,1,1,1,0,0,0,1,1,72000,0,0,390508390,1,1,0
111000401,1110004,(Old)PDW K101,1,1,1,0,0,0,1,1,1440,0,0,390508390,1,1,0
111000402,1110004,(Old)PDW K101,1,1,1,0,0,0,1,1,10080,0,0,390508390,1,1,0
111000403,1110004,(Old)PDW K101,1,1,1,0,0,0,1,1,21600,0,0,390508390,1,1,0
111000404,1110004,(Old)PDW K101,1,1,1,0,0,0,1,1,43200,0,0,390508390,1,1,0
111000405,1110004,(Old)PDW K101,1,1,1,0,0,0,1,1,72000,0,0,390508390,1,1,0
111000501,1110005,(Old)PSD XR,1,1,1,0,0,0,1,1,1440,0,0,390508390,1,1,0
111000502,1110005,(Old)PSD XR,1,1,1,0,0,0,1,1,10080,0,0,390508390,1,1,0
111000503,1110005,(Old)PSD XR,1,1,1,0,0,0,1,1,21600,0,0,390508390,1,1,0
111000504,1110005,(Old)PSD XR,1,1,1,0,0,0,1,1,43200,0,0,390508390,1,1,0
111000505,1110005,(Old)PSD XR,1,1,1,0,0,0,1,1,72000,0,0,390508390,1,1,0
111000510,1110005,(Old)PSD XR,1,1,1,0,0,0,1,1,525600,0,0,390508390,1,1,0
111000901,1110009,(Old)AK 74u,1,1,1,0,0,0,1,1,1440,0,0,390508390,1,1,0
111000902,1110009,(Old)AK 74u,1,1,1,0,0,0,1,1,10080,0,0,390508390,1,1,0
